Chi’s Sweet Home,,,Carlsen,,,6,de,Slice of Life,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/31397-xfs0JJPkErwT.jpg,,
Children of the Whales,"Umeda, Abi","Umeda, Abi",Carlsen,laufend,,7,de,Fantasy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/56742-u3KZ24I59LUp.jpg,,
Chivalry of a Failed Knight,"Misora, Riku","Soramichi, Megumu",Kazé,,,5,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx85370-jf3QsOKMnpyq.jpg,,
Citrus,Saburouta,Saburouta,Tokyopop,abgeschlossen,10,10,de,Yuri,https://www.tokyopop.de/manga/media/image/39/03/4d/3917_0_250x374.jpg,,
Citrus Perfect Edition,Saburouta,Saburouta,YH Comics,abgeschlossen,10,1,jp,Yuri,,,
Close to Heaven,"Mikimoto, Rin","Mikimoto, Rin",Tokyopop,abgeschlossen,9,9,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx65035-GDIsq4cG2fPF.jpg,,
Cocytus,,,Tokyopop,abgeschlossen,1,1,de,Yuri,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/56434-G4zi7zcPil2C.jpg,,
Confidential Confessions,,,Tokyopop,,,1,de,Drama,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/170.jpg,,
Corpse Party,,,Egmont,abgeschlossen,10,10,de,Horror,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/b49094-QGuLHYTzL7Gj.jpg,,
Corpse Party Another Child,,,Egmont,abgeschlossen,3,3,de,Horror,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/27963-sQeIWfYohLBR.jpg,,
Corpse Party: Book of Shadows,,,Egmont,abgeschlossen,3,3,de,Horror,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/34571.jpg,,
Crash!,,,Tokyopop,,,6,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/6506.jpg,,
Cry out for Love,,,Egmont,abgeschlossen,1,1,de,Drama,,,
Daily Butterfly,"Morishita, Suu","Morishita, Suu",altraverse,abgeschlossen,11,7,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/35719.jpg,,
Dämonenjunge Lain,,,Tokyopop,abgeschlossen,1,1,de,Shojo,,,
Dance in the Vampire Bund,,,Tokyopop,abgeschlossen,7,7,de,,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/7627.jpg,,
Dance in the Vampire Bund - Scarlet Order,,,Tokyopop,abgeschlossen,2,2,de,,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/87537-OJ113McLhDgT.jpg,,
Danmachi,,,Kazé,,,10,de,Adventure,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/85161-h9APMnYf63so.jpg,,
Das Herz einer Hexe,Matoba,Matoba,altraverse,,,5,de,,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/35313.jpg,,
Daytime Shooting Star,"Yamamori, Mika","Yamamori, Mika",Kazé,abgeschlossen,12,12,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/27231.jpg,,
Dead Dead Demon s Dededededestruction,,,Tokyopop,laufend,,6,de,Slice of Life,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/55316-lhdwwDOPSOF2.jpg,,
Deadman Wonderland,,,Tokyopop,,,2,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/3986-MVBs6TF7VMbA.jpg,,
Death Note,,,Tokyopop,abgeschlossen,13,13,de,Mystery,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx30021-qfGufBWpSX1z.jpg,,
Deep Kiss,,,Tokyopop,abgeschlossen,1,1,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/601.jpg,,
Demi-chan,Petos,Petos,altraverse,laufend,,6,de,Slice of Life,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/86898-nwUpuchXnfMK.jpg,,
Demon Chic x Hack,"Tanemura, Arina",,Tokyopop,abgeschlossen,2,2,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/57006-tzFWyVsIllTK.jpg,,
Der Zauber einer mir unbekannten Welt,,,Tokyopop,abgeschlossen,2,2,de,Yuri,,,
Desire ©Max,,,Egmont,abgeschlossen,7,7,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/1339-CmbXypEN18LT.png,,
"Detective Conan 1-3, 26",,,Egmont,laufend,,4,de,Mystery,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/1061.jpg,,
Devil of the Victory,,,Tokyopop,abgeschlossen,3,3,de,Shojo,,,
Di Gi Charat,,,Egmont,abgeschlossen,,1,de,Comedy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx97493-9RnisuzFeEKB.jpg,,
Die Abenteuer des Tom Sawyer,,,Tokyopop,abgeschlossen,1,1,de,Comedy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/34-nXRwmeO6lOhR.jpg,,
Die kleine Prinzessin Sara,,,Tokyopop,abgeschlossen,1,1,de,,,,
Die mit dem Teufel tanzt,"Azuma, Sawayoshi","Azuma, Sawayoshi",altraverse,laufend,,2,de,Slice of Life,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx97493-9RnisuzFeEKB.jpg,,
Die rothaarige Schneeprinzessin,,,Tokyopop,,,12,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx34571-uRvqh90mPuGS.jpg,,
Die Stadt in der es mich nicht gibt,,,Tokyopop,,,1,de,Mystery,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx69325-BnPJNGcZTiMy.jpg,,
Die Tanuki-Prinzessin,,,Kazé,,,8,de,Comedy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/55418.jpg,,
Doremi,,,Carlsen,abgeschlossen,3,3,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/4175.jpg,,
Dragonball Sammelband,,,Carlsen,,,6,de,Action,,,
Dragonball Z Anime Comic,,,Carlsen,,,1,de,Action,,,
Dreamin' Sun,"Takano, Ichigo","Takano, Ichigo",Tokyopop,abgeschlossen,10,7,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/9607-2sBmiEptWlvG.png,,
Du erwachst im Frühling,"Shima, Asato","Shima, Asato",altraverse,,,3,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx100064-nmtrBjA7OEIy.jpg,,
Dusk Maiden of Amnesia,,,Kazé,abgeschlossen,10,6,de,Horror,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/15805-coKliG2naK9N.jpg,,
Éclair,,,altraverse,laufend,,3,de,Yuri,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx102070-xMDCYzD1QOB7.jpg,,
Éclair,,,Yen Press,,,1,eng,Yuri,,,
Ein Freund zum Verlieben,"Kawahara, Kazune","Kawahara, Kazune",Kazé,laufend,,2,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx86686-pvFz09LS0JOy.jpg,,
Ein tropischer Fisch sehnt sich nach Schnee,"Hagino, Makoto","Hagino, Makoto",altraverse,laufend,2,1,de,Yuri,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx100187-RSku0wTdV2QM.jpg,,
Eine fröhliche Familie,,,Tokyopop,abgeschlossen,1,1,de,Klassiker,,,
Elfenlied,"Okamoto, Lynn","Okamoto, Lynn",Tokyopop,abgeschlossen,6,1,de,Drama,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/933-KbrldlVsrfxl.jpg,,
Erdbeeren und Marshmallows,,,Tokyopop,,,1,de,Slice of Life,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/371-08AXSgmvwNGH.jpg,,
Eve and Eve,"Nagashiro, Rouge","Nagashiro, Rouge",,,,1,eng,Yuri,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx101383-sOVsgDelqXuP.png,,
Everyone's Getting Married,"Miyazono, Izumi","Miyazono, Izumi",Viz Media,abgeschlossen,9,9,eng,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/56002-dWOlK76XVMat.png,,
Fairy Tail,,,Carlsen,,,3,de,Fantasy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/598-4gzaRQ0wHT67.jpg,,
Faster Than a Kiss,,,Tokyopop,,,4,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/3872.jpg,,
Fate/Stay Night,"Nasu, Kinoku","Nishiwaki, Datto",Tokyopop,abgeschlossen,10,7,de,Action,https://www.tokyopop.de/manga/media/image/53/27/36/fate-stay-night-cover-01.jpg,,
Fesseln der Liebe,Shiraishi. Yuki,Shiraishi. Yuki,Tokyopop,abgeschlossen,4,3,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/55309-w5eYjOYTOEC9.png,,
Fire Force,"Ookubo, Atsushi","Ookubo, Atsushi",Tokyopop,laufend,,7,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx86310-OraykJ8bRNTr.jpg,,
FoodWars,,,Carlsen,laufend,,21,de,Sports,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/45757-Sw2eGiajIxyo.jpg,,
Frühling Sommer Herbst und Winter,,,Egmont,abgeschlossen,1,1,de,Yuri,,,
Fullmetal Alchemist,"Arakawa, Hiromu","Arakawa, Hiromu",Panini,abgeschlossen,27,19,de,Adventure,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/25-imy9GeynfS89.jpg,,
Fullmetal Alchemist,"Arakawa, Hiromu","Arakawa, Hiromu",,abgeschlossen,27,4,jp,Adventure,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/25-imy9GeynfS89.jpg,,
Fullmetal Alchemist - Novel,"Inoue, Makoto","Arakawa, Hiromu",Viz Media,abgeschlossen,7,1,eng,Adventure,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/4658.jpg,,
Fullmetal Alchemist Perfect Edition,"Arakawa, Hiromu","Arakawa, Hiromu",Viz Media,,,1,eng,Adventure,,,
Fullmoon wo Sagashite,"Tanemura, Arina","Tanemura, Arina",Egmont,abgeschlossen,7,7,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/8-3Z2gmgoKhN6L.png,,
Futaribeya,Yukiko,Yukiko,Tokyopop,laufend,,4,eng,Yuri,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/56244-V8y4MLfSM3Gy.jpg,,
